,Campus,Building,Room,Capacity,Date,Day,SurveyPercentage,Count,LogDate,Module,NoStudents,WeekNo
55,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,26,2015-11-03 10:43:31,COMP30110,45,45/2015
56,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,30,2015-11-03 10:48:43,COMP30110,45,45/2015
57,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,32,2015-11-03 10:54:35,COMP30110,45,45/2015
58,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,8,2015-11-03 10:03:51,,,45/2015
59,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,8,2015-11-03 10:08:42,,,45/2015
60,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,7,2015-11-03 10:13:08,,,45/2015
61,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,5,2015-11-03 10:18:06,,,45/2015
62,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,6,2015-11-03 10:23:02,,,45/2015
63,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,6,2015-11-03 10:28:09,,,45/2015
64,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,7,2015-11-03 10:33:16,,,45/2015
65,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,7,2015-11-03 10:38:22,,,45/2015
66,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,7,2015-11-03 10:43:31,,,45/2015
67,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,8,2015-11-03 10:48:43,,,45/2015
68,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,12,2015-11-03 10:54:35,,,45/2015
69,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,58,2015-11-03 11:00:16,COMP20070,107,45/2015
70,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,39,2015-11-03 11:05:25,COMP20070,107,45/2015
71,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,51,2015-11-03 11:10:09,COMP20070,107,45/2015
72,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,60,2015-11-03 11:14:50,COMP20070,107,45/2015
73,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,62,2015-11-03 11:19:48,COMP20070,107,45/2015
74,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,66,2015-11-03 11:24:51,COMP20070,107,45/2015
75,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,67,2015-11-03 11:33:13,COMP20070,107,45/2015
76,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,67,2015-11-03 11:40:38,COMP20070,107,45/2015
77,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,67,2015-11-03 11:45:06,COMP20070,107,45/2015
78,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,25,2015-11-03 11:50:25,COMP20070,107,45/2015
79,Belfield,Computer Science,B-004,220,2015-11-03 11:00:00,Tue,0.5,59,2015-11-03 11:56:07,COMP20070,107,45/2015
80,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,23,2015-11-03 11:00:16,COMP30260,18,45/2015
81,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,26,2015-11-03 11:05:25,COMP30260,18,45/2015
82,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,34,2015-11-03 11:10:09,COMP30260,18,45/2015
83,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,29,2015-11-03 11:14:50,COMP30260,18,45/2015
84,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,27,2015-11-03 11:19:48,COMP30260,18,45/2015
85,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,27,2015-11-03 11:24:51,COMP30260,18,45/2015
86,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,28,2015-11-03 11:33:13,COMP30260,18,45/2015
